"Area
Symbol",Area Name,"Map Unit
Symbol",Map Unit Name,Farmland Class,"Map Unit
Acres",mukey
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,2,"Lovewell very fine sandy loam, stratified substratum",All areas are prime farmland,58,296048
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,5,"Fluvaquents-Udifluvents complex, frequently flooded",Not prime farmland,47,296049
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,6,Redwater fine sandy loam,Not prime farmland,6,296101
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,15B,"Waddington gravelly loam, 3 to 8 percent slopes",Farmland of statewide importance,2,296050
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,18A,"Adams loamy sand, 0 to 3 percent slopes",Farmland of statewide importance,24,296051
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,18B,"Adams loamy sand, 3 to 8 percent slopes",Farmland of statewide importance,21,296052
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,20A,"Croghan loamy fine sand, 0 to 3 percent slopes",Farmland of statewide importance,72,296053
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,33,Wainola loamy fine sand,Prime farmland if drained,73,296054
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,39A,"Churchville silty clay loam, 0 to 3 percent slopes",Prime farmland if drained,934,296055
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,39B,"Churchville silty clay loam, 3 to 8 percent slopes",Prime farmland if drained,293,296056
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,40B,"Heuvelton silty clay loam, 3 to 8 percent slopes",All areas are prime farmland,27,296057
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,40C,"Heuvelton silty clay loam, 8 to 15 percent slopes",Farmland of statewide importance,2,296058
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,41A,"Muskellunge silty clay loam, 0 to 3 percent slopes",Prime farmland if drained,1066,296059
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,41B,"Muskellunge silty clay loam, 3 to 8 percent slopes",Prime farmland if drained,58,296060
NY689,Akwesasne Territory: St. Regis Mohawk Reservation,42,Adjidaumo silty clay,Farmland of statewide importance,3175,296061
